mediatype_label,sector_label,record_id,dc_type_de,match_level,cho_class,source_vocab,note,mediatype,sector
Audio,Museum,http://www.deutsche-digitale-bibliothek.de/item/GKAXBJF7NRB7D3OU2BT7DNZJWCWTCGFZ,Audiofile,any-sector,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,aco,+ https://w3id.org/ac-ontology/aco#AudioManifestation (M-slot accumulated),http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006
Audio,Museum,http://www.deutsche-digitale-bibliothek.de/item/2MDF7APWKHRHXGGCEH7EABFDLSRWZK3G,Inszenierung,any-sector,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,aco,+ https://w3id.org/ac-ontology/aco#AudioManifestation (M-slot accumulated),http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006
Audio,Research,http://www.deutsche-digitale-bibliothek.de/item/54NEG5AM5TILNSIX2IKCO76SRGA5Z6CT,Schellackplatte,any-sector,http://purl.org/ontology/mo/MusicalWork,mo,W-slot (replaces mocho:Manifestation); M-slot=http://purl.org/ontology/mo/MusicalManifestation,http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004
Audio,Research,http://www.deutsche-digitale-bibliothek.de/item/4RVOEEFENHFTBDS6ZVPOVIAIJNOCQ46I,Tonaufnahme,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004
Audio,Research,http://www.deutsche-digitale-bibliothek.de/item/7GMIX2TPFQMQED5VYYA7GL5D3MJAT3SA,Tonaufnahme,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004
Audio,Research,http://www.deutsche-digitale-bibliothek.de/item/BR7435PQUE3A64KVE7CVZVH2MTIFYSKY,Tonaufnahme,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004
Audio,Research,http://www.deutsche-digitale-bibliothek.de/item/D7I4ZOT7UJJ2YX632S63D74YSED2K32M,Tonaufnahme,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004
Not Digitized,Archive,http://www.deutsche-digitale-bibliothek.de/item/224BB273RJDT6WN7GAIRV4AJ5ES5YPC5,Akten,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte001
Not Digitized,Archive,http://www.deutsche-digitale-bibliothek.de/item/224ORUYARB2LZD7AVJSFLSFYOKS3IPHK,Audio-Visuelle Medien,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte001
Not Digitized,Archive,http://www.deutsche-digitale-bibliothek.de/item/22BTP7FDOU5DMPXVTKD657WNYYQJDEAO,Personenakten,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte001
Not Digitized,Archive,http://www.deutsche-digitale-bibliothek.de/item/2276BPDMOAU7RLS37N7QGD7C5YVHFDC6,Sonstiges,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte001
Not Digitized,Archive,http://www.deutsche-digitale-bibliothek.de/item/22CINUALPZYESFYSEGGCWO5GKT2H6KIG,Urkunden,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte001
Not Digitized,Library,http://www.deutsche-digitale-bibliothek.de/item/22NTTUJZMP7BAZTYX5JXSEDG2IRA3FIO,Comic,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte002
Not Digitized,Library,http://www.deutsche-digitale-bibliothek.de/item/22FXIOS6OQMMYSDHMNJRQPADHUHLZPDG,Hochschulschrift,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte002
Not Digitized,Library,http://www.deutsche-digitale-bibliothek.de/item/22HOHBM2DCZ232CPIA5K5NDEQBONH4X5,Hochschulschrift,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte002
Not Digitized,Library,http://www.deutsche-digitale-bibliothek.de/item/22MBKP7UGKMJ3MIGSXD7J2XNYFC6PZZE,Lyrik,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte002
Not Digitized,Library,http://www.deutsche-digitale-bibliothek.de/item/227H6MUY4Q2VX5RV5YTQHB7QFAHHJSNU,Reisebericht 1786-1787,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte002
Not Digitized,Media Library,http://www.deutsche-digitale-bibliothek.de/item/6FMA4QCQT3SKCALKJPPW2KOY4SRHPJCK,Fotografie,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte005
Not Digitized,Media Library,http://www.deutsche-digitale-bibliothek.de/item/CBBK6KJWNWGVP57URFDMTZLA6OG6CBC7,Fotografie,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte005
Not Digitized,Media Library,http://www.deutsche-digitale-bibliothek.de/item/L6WFGHOQ7U6BK5T4N4ESKMFNPJZX3X37,Fotografie,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte005
Not Digitized,Media Library,http://www.deutsche-digitale-bibliothek.de/item/HGX63ISDYFMBG7EIQB2FCYLXACZTLPG7,Negativ,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte005
