dc_type_de,gnd_uri
Ausstellungsführer,VED6N5W24HV3KE6W3CMAUKXSZ4FTCKSC
Ausstellungsgebäude,YOSXR33NAODOFYGCI7INF3BGAN5JM5WK
Ausstellungskatalog,https://d-nb.info/gnd/4135467-9
Ausweis,SI2MWJCKTGHHPEL7VC77F7CSQRSICKCO
Authors' presentation copies (Provenance) - Germany - 19th century,
Autobiografie,http://d-nb.info/gnd/4003939-0
Autobiographie,MI3OYQ2RMNRCS7HTPRGCA4PDX7L6UEP6
Autobiographie 1950-2000,IITATHFPMWB4RLHKLYZ6QCRT56GJR2S2
Autograf,https://d-nb.info/gnd/4003942-0
Autograph,http://d-nb.info/gnd/4003942-0
AV-Medien,
Band,http://ddb.vocnet.org/hierarchietyp/ht007
Bank (Bauwerk),http://vocab.getty.edu/aat/300005214
Banknote,NPMGHI4PSXYEAOMRNPB5A4AQ7HLEDXJY
Baudenkmal,KRVLP4PIOXEI37DZXJFCIPK62GYYRMI4
Bauzeichnung,http://vocab.getty.edu/aat/300034719
Becher,UZZX3URNN6H2M2Q6SBV5LADZNTG5FGPQ
Beigefügtes oder enthaltenes Werk,http://ddb.vocnet.org/hierarchietyp/ht003
Beilage,http://ddb.vocnet.org/hierarchietyp/ht008
Beispielsammlung,http://d-nb.info/gnd/4144384-6
Bekanntmachung,KVS4OXO4R45YN3BSURR2CAX3RCHNDN3H
Belletristik,JSI4YTFSSK2VMTCEQ5GUGHVIRVONJZ4J
Belletristische Darstellung,https://d-nb.info/gnd/4144445-0
Bericht,7P2JV7IOULN262NUDTMNYQQEP47ZVN4J
Bescheinigung,http://vocab.getty.edu/aat/300026841
Besitzvermerk,EEJOUI5CHO6IKX5TQGAOF3AUO4GPNKSE
Bestand,SER4MV7RPRZ4QY3ZH2ZBENNUEUOPTPOM
Bestand Bilder,URYPFKM4G7UGN6DQ7FHPAT4JFRMOQKDK
Bestimmungsbuch,http://d-nb.info/gnd/4144950-2
Bewilligung,7ATY2KKNKJAMJZIJQRCHZQU7ACRGLWKV
Bibliografie,https://d-nb.info/gnd/4006432-3
Bibliographie,2G46IOBCZFSRJTKDQJ2TZZG4ZTZ6BL4M
Bibliotheksgut,MBQPGWTYIMCR4MW5APETLKILFGWWCRDK
Bierdeckel,http://d-nb.info/gnd/4305216-2
Bild,https://d-nb.info/gnd/4006568-6
Bild / Foto,OC2CRBDD6KDTYMKESMGAFYK4WGTOMJFA
Bild/Foto,ADVEMU7VZTYK4L4OXXVYTHF7VIHRHKHR
Bildband,https://d-nb.info/gnd/4145395-5
Bilddokument,G73ODQ4P3UIVALRCSXIL74MLH7HD6HDA
Bilder,DLUZFCXXMNKTKGPOD6PMCS5NGFYDHPRH
Bilderbuch,http://d-nb.info/gnd/4006604-6
Bildermappe,JXENIWIXYMEIJHYKBXIVCFCOI5DNWPD3
Bilderrolle,http://d-nb.info/gnd/4606181-2
Bildhauermodell (Kleinkunst / Modell),PIZAEADIWQYFE4IIYJCYA2KBG2QZPIIS
Bildliche Darstellung,http://d-nb.info/gnd/4145419-4
Bildnis,http://d-nb.info/gnd/4006627-7
Bildwerk,http://vocab.getty.edu/aat/300047190
Billet,F3UYOUH7ZPNDM4W5V2RKN2UGU765URZU
Biografie,http://d-nb.info/gnd/4006804-3
Biographie,YV2WSAR75MH3IFRHNROKU7IQEQV5TZWG
Biographie 1765-1768,3WL3E4GVK7PWVIJR4W3DQTEYABS7SZGF
