dc_type_de,gnd_uri
Glückwunschalbum,TH4RYGR4ED4HYEY3TZ3IKDRZRH5LEQWM
Goethe-Bildnis auf Elfenbein,AA4FCZKY7ITOL2EYVAW3GETBEUSNPKF5
Goldschmiedemodell,TVEQWSLSJJYOCQZK4BDTJ3DOHIXF7T2U
Grabmal,http://d-nb.info/gnd/4021732-2
Grabplatte,FAEIKA3PN4B6HYM7EB3IMSF6YKXWMN4G
Grabstein,6Y3QZPHNYEZZYPIQAY73D4JROYYCOPNQ
Grabstätte,M2R3U6VD7RHAXAH6O4ZJ4HSYM5YMYG3L
Grafik,http://d-nb.info/gnd/4021845-4
Grafik (Gruppenporträt),6GXVGYVUUG76ACJAK5EALD642DSHYKDV
Grafitstiftzeichnung,ERHZJKDE2X3PXGC5PHMLNMOS6ZHGVJP4
Graphik,http://d-nb.info/gnd/4021845-4
Grundriss,http://vocab.getty.edu/aat/300034158
Grundrissplan,4X6HPKCPUBJJ7QUZEW3MRUNWXPWLXNXY
Gruppe (2-figurig),Q77QZXS6FEYM5HNFSP7VCT5XH2R3HNF4
Gruppe (3-figurig),Y2PL4SAQQ4TS7UU5HJZKORTXDGJWVK7I
Gruppenfoto,http://d-nb.info/gnd/4196470-6
Grußkarte,http://d-nb.info/gnd/4197426-8
Gymnasium,http://vocab.getty.edu/aat/300006495
Gästebuch,http://d-nb.info/gnd/4019070-5
Götterstatuette,http://d-nb.info/gnd/4209243-7
Haarlocke,NWFSCFEKN2NES2AS5ERJD5YNKYCIGVJ2
Halbrelief,CJV7BY474D3MGZF3NLV3IYQKI6IB5UOX
Halle,KLM5OMSUWYIWNN4MCZPLO45GCGJPZ55V
Halterung,UQIC5ONJ3VV56YDPYSN3FQ6DW45MZ5U2
Handschrift,https://d-nb.info/gnd/4023287-6
Handschrift (Manuskript),http://d-nb.info/gnd/4126273-6
Handschrift (Manuskript); Drucksache,KVAQPL74UIK4PFCGCZFC6UJ7B3Z5W2WE
Handschrift (Manuskript); Zeitungsausschnitt,5GZ5F3N73MKYNWIJHCHAXC3NC7SBYXNO
Handschriften,
Handschriftenband,RRCV4XRBVIX7K25ENQEUHIYXARFFZW3S
Handzeichnung,H2WXK5AA54FRTA63M6RGSPIVZTHOVGLW
Handzettel,NXDTWOCPWTFPXEWJNUV37ADYUAYN7UAE
Heft,https://d-nb.info/gnd/4704591-7
Herme,http://vocab.getty.edu/aat/300047170
Hieb- und Stoßwaffe,http://d-nb.info/gnd/4072487-6
Hinterhaus,http://vocab.getty.edu/aat/300005433
Historische Romane und Erzählungen,27ENUSHAL2HRJYJZVTHOABDCRWURBCZS
Hochschulschrift,http://d-nb.info/gnd/4113937-9
Hof,http://vocab.getty.edu/aat/300107979
Holzmodell,5XX365QWWK4BGPH54PMDFEMJGC42MSOQ
Holzschnitt,2OEDIFYSYO5PWQ32W577FHS4KMFVCZJ3
Holzstich,PDKSQE4BZ6N4QKFHFOAYUJOAMU3EIA54
Hotel,3ERWFMIPX2PFLC22H4STUZQ75UELDIPA
"Humor, Satire",GNOTLPCBL4ZXRMJRJQCH7YHLXP4WWD2R
Humoristische Darstellung,https://d-nb.info/gnd/4160799-5
Humpen,http://vocab.getty.edu/aat/300262567
Häckel,DOLX3ZKTYCBPJOAGQWYTJGQZCPBOLROV
Häuserzeile,http://vocab.getty.edu/aat/300263552
Illustration,https://d-nb.info/gnd/4123412-1
Illustration/Buchillustration,http://vocab.getty.edu/aat/300015578
Immerwährende Kalender,GIAR7FFBVU4UGAD3GYY5XUH2CR6EAOUA
Index,https://d-nb.info/gnd/4132120-0
Informationsblatt,CNOLO2SM33U6TDMMASXOQI4TOLOJWFPS
Informationsschild,2HADP76RJT33BPD2U4HE2AJLVFCGEXW5
Inhaltsverzeichnis,https://d-nb.info/gnd/4616899-0
Inkunabel,https://d-nb.info/gnd/4027041-5
Innenraum,http://vocab.getty.edu/aat/300004044
Inschrift,RWEJKCD6244AD3R2X36VTQI272DK6Z3P
Inschrifttafel,http://vocab.getty.edu/aat/300028879
Inszenierung,UBIKQQEJCBLFQRQHLOO7DM4OJBNMYMO4
Interview,http://d-nb.info/gnd/4027503-6
Inventar,http://vocab.getty.edu/aat/300027045
Inventarliste,JQ4CKSKSMV74CPVQNE762LDCBSBCHN4T
Jeton,CPUKZTNGQAGBYDCCOESO2VT4GL2AOKCJ
Journal,WVDU62GX5JPYDBVE25KAIIKJEYVTGUWE
Journal article,MEIEAA5A25PKKEOKD5Z4PP24SXJBODTZ
Jubiläumspostkarte,CCUL4NMOQCNNYJP5TBAS4EMQSWJULXDT
Jugendbuch,http://d-nb.info/gnd/4306252-0
Jugendbücher ab 12 Jahre,RCLGBGHCXGGFBSCFMBH2EHEARVYKEXTE
Jugendsachbuch,http://d-nb.info/gnd/4028933-3
Kai,http://vocab.getty.edu/aat/300120786
Kalender,http://d-nb.info/gnd/4029290-3
Kalligraphie (allgemein),FROQTOITJYY6G2WVGJUQB6DJV3CHLODD
Kaltnadelradierung,http://d-nb.info/gnd/4163131-6
Kameo,http://d-nb.info/gnd/4120541-8
Kanne,http://d-nb.info/gnd/4130798-7
Kapitel,https://d-nb.info/gnd/4290552-7
Karikatur,http://d-nb.info/gnd/4029670-2
Karte,http://ddb.vocnet.org/hierarchietyp/ht019
Karte/Plan,KW2AZPHX6H66NJ6565Y5PIVZKGCIOFX7
Karteikarte,MZWLA7RUQOQAW46U6CM3ZYM2KORQ36YF
Karten und Pläne,FPOMU5LKN6ZZ37VWM3KIN2XQ3OJNVRRB
Kartenspiel,http://d-nb.info/gnd/4029798-6
"Kartenspiel, Quartett",IXOU24RGECSGMPHAQGFTVK5SLD2RTSO6
Kassenbuch,http://vocab.getty.edu/aat/300027496
Kassette,FGV4EUOCMFX2YIB2EUICE6KD3FZNR3B7
Kasten- / Kästchengriff,OE3CRLGFG7BN5BVYIMFS3ZW2ONFT2BRL
Katabori-Netsuke,XULNAZETBR7T5SYYCNTEZHVEG4QFI2WF
Katalog,http://d-nb.info/gnd/4163417-2
Katalog und Preisliste,UPTG2SEZWJ7QTFZAZEXMV5W5XHEMOKJJ
Katalogblatt,QSTMVTA3FJ4QCFBUYOKDB6O5JMW2E2WQ
Kaufbrief,http://vocab.getty.edu/aat/300141696
Kaufvertrag,http://d-nb.info/gnd/4030088-2
Keine Angabe,TYR5EPSL6GMWOJO33I76O34AKRBVNJKK
Kettenanhämger,MQ4WO5UOTEAPWFYVFUFKOUWJ4QLABSAQ
Kinder- und Jugendliteratur,
Kinderbuch,http://d-nb.info/gnd/4303251-5
Kinderbücher bis 11 Jahre,PTZM7TCFKNLWS63A2C7FVB7PL4BHDD7D
Kindersachbuch,http://d-nb.info/gnd/4163854-2
Kindertheater,GWYBI2BYM2RXJ7C63Q55KNOPAEIQUPEC
Kino,http://vocab.getty.edu/aat/300007135
"Kirche, ev.",FVVPPIFE2M7G7OCBRXLHTSR3T4MVCDK5
"Kirche, evangelisch, Werksteinbau",CRKJHAJPMHQ3SYDEXTXODBATTUF2B3D4
Klappsonnenuhr,http://d-nb.info/gnd/7562193-9
Kleidung,http://vocab.getty.edu/aat/300209261
Kleinbilddia,http://vocab.getty.edu/aat/300128371
Kleinplastik,http://d-nb.info/gnd/4031095-4
Kleinskulptur,QW7SM4DNZFC4QDOP35KRMLDPSA2SC5LB
Kochbuch,http://d-nb.info/gnd/4114240-8
Kohlezeichnung,http://vocab.getty.edu/aat/300390908
Kolumnensammlung,http://d-nb.info/gnd/1071862448
Kommentar,https://d-nb.info/gnd/4136710-8
Komposition [Musik],BOOJA7O3Y4SHNL7WL7JVVYFRSL52QTVV
Komödie,http://d-nb.info/gnd/4031952-0
Kondolenzbrief,JDC6UQOPUHGHDYZ5L7QE4NI63BUNBMKU
Konferenzbeitrag,OFOIZITCZAJAMLKLBXYXTCSR6ASNDVY6
Konferenzschrift,http://d-nb.info/gnd/1071861417
Konfirmationsschein,BFFOCGNP5GDCPHDID6RIOZOLUCCZXIXR
Kongress,DAQAQQAW3E25OMH7WJIJ36ITYXITI2KC
Kongress 1987,LSYDOXDMEU7RCA54IMHVXBGIXW4ISNX2
Kongress 1999,FQYJFN7ZYX3AZ277RLHQQB2767YFQGBJ
Kongress 2001,CC2NIJ4YPTTZL7IYZDD5652ZYFJZMADF
Kongress 2012,FEBVPSCYET3LREMIGGTNXBKRPQNULC7Q
Konkordanz,http://d-nb.info/gnd/4165001-3
Kontaktbogen,http://d-nb.info/gnd/7709611-3
Konvolut,LQQ5J4DS6GH7IPQ6CDK7IWOA74YY6RRI
Konvolut Zigarrenkisten-Etiketten (11),UNZAD4CNW7VOOBVCLIVVITWWQBKM2XUM
Konzertprogramm,JWJ5UVOCQWBSBGKAGOXKBPHBPVOTQHFI
Kopf,RDOUJ5AYS5C75BQYD2BWRDSHFKMD7XYE
Kopie,http://d-nb.info/gnd/4032423-0
Koppelschloss,OEAT2F7W4OIUTI255IOPDUUPOIVPAHX2
Koralle,A6EA4GHIKS2NOZMARFH7K2UKD7WHICTY
Korrespondenz,G5DPUWX4M64K65E7AOUI7PAUOK3GZOFU
Kostümentwurf,X4GHZKZQ34CU23EBVN6JNALJI5ZBJEMB
Kreidezeichnung,KBIDHCBPYGTRUCQOCCQYWRWNFKGQMQKG
"Krimis, Thriller, Spionage",7HIZAEL4IXSNIXS6I7PHAXHS7DMQALNM
Krug,http://d-nb.info/gnd/4033299-8
Kunst,http://d-nb.info/gnd/4114333-4
Kunstdruck,SOWML7OHZZ5T3VN4IDJ663T5IZERR7IF
Kunstführer,http://d-nb.info/gnd/4166029-8
Kupferstich,http://d-nb.info/gnd/4033760-1
Kupferstich?,H4G6AVS75LBK3RA6DNKAXPSQCDE76BD3
Kylix <Gefäß>,http://d-nb.info/gnd/4715607-7
Kästchen in Buchform,YK2K23PM6MKV4TP5447VSFRVFX7RNGWA
Künstlerkarte,FVEQXEMDHMYD4FRGFS7DTGVA4HFIKLXC
Künstlerpostkarte,http://d-nb.info/gnd/4165892-9
Laden,UADAMR6WFHWXCEJR77KTI5MUU7R54X2U
Landhausgruppe,NVOLHKSC4EV3PWLRE5K5YBY3ZRQTJAXZ
Landkarte von Deutschland in den Grenzen von 1920,LYVHHIQIKQYUSZR4FWIZ2CZVXEERNUKK
Landschaftsdarstellung,QQCESN2PXBJUDX4J4RA7S4I6REF2LFAY
Langspielplatte,3EVPMT62YCEXLSXPLP24C3A2SMU75YTM
Lehrbuch,http://d-nb.info/gnd/4123623-3
Lehrerhandbuch,http://d-nb.info/gnd/4167168-5
Lehrmittel,http://d-nb.info/gnd/4074111-4
Lekythos,http://vocab.getty.edu/aat/300264937
Lernen im Vorschulalter,GPK7X2CAEAK4YWPSQRQWONCINYLIGRFL
Lesebuch,http://d-nb.info/gnd/4035435-0
Libretto,https://d-nb.info/gnd/4035588-3
Libretto: Ballett,
Libretto: Chorliederkreis,
Libretto: Chorwerk,
Libretto: Drama mit Gesang,
Libretto: Dramatische Legende,
Libretto: Festspiel,
Libretto: Gedicht mit Gesang,
Libretto: Gesänge,
Libretto: Hymne,
Libretto: Lied,
Libretto: Liederspiel,
Libretto: Melodram,
Libretto: Monodram,
Libretto: Oper,
Libretto: Oratorium,
Libretto: Parodie,
Libretto: Pasticcio,
Libretto: Posse,
Libretto: Posse mit Gesang,
Libretto: Schauspiel,
Libretto: Schauspiel mit Gesang,
Libretto: Singspiel,
Libretto: Tanzpoem,
Libretto: Trauerspiel mit Gesang und Tanz,
Libretto: Vaudeville,
Libretto: Zauberposse mit Gesang und Tanz,
Libretto: Zauberspiel,
Lichtpause,FZKETPOTG4POYGV6XIX6DKNEB2FDX5KN
Lichtpause Einzeichnung,YI55JYNHGUOJD72TGN64DCCBEK7FKV7M
Liebigbilder-Album für Sammelbildchen (unvollständig),3PO27ELC3NTDR6EXCVRPBU7BPPONNNQG
Lied,https://d-nb.info/gnd/4035669-3
Lieder,L3R7XJGVUU3IYBALVCNCKOCTK5ZHA436
Lieder und Songs für Kinder und Jugendliche,TEB56A6HLIWRQXSUQJTC2BTDQCEOWMQE
Linoleumstempel,Y7ZLZO4ZCZWHNSYT4AFEUAB4AS7IQ2UB
Liste,http://vocab.getty.edu/aat/300220511
Literaturbericht,http://d-nb.info/gnd/4167870-9
Literaturbericht 1960-1984,ZIW62WIRD7UQXLUMBZJE4XNDRAQ3YYBK
Lithografie,http://d-nb.info/gnd/4036042-8
Lithografie (print),2UJZMOJ5APGLN3TQZAK5X6QZFRYJ27LW
Lithographie,A5NUOPZCDJCKOA27XWG65Q6XXOFC3XDD
Locken,7XU3G6XW4XMXM3DHAZUPV2M6TFHQ4A23
Lyrik,http://d-nb.info/gnd/4036774-5
"Lyrik, Dramatik",PBCNCMLDNXEHN23LRY4CAAGWW5GOCOVV
Ländermedaille,YJKY5375KGMU2TR4VPAD2I3RXWVCP6LQ
Längsschnitt,http://vocab.getty.edu/aat/300034249
Lösungsheft,VTOL4QD3QY7JYNGJV35VFFNGKGQFRVKD
Malerei,http://vocab.getty.edu/aat/300054216
Manuskript,KXB2RLJ6RLH6CT7FHR5G5P74KNL7GZZM
Mappenwerk,JNOC3H2RZF46SUGNMIC6UMN4HMWJCGAW
Marginalie,http://vocab.getty.edu/aat/300026102
Maske,IXPCKA37GQIFZANKLNQC5PW7YAUQNDUB
Mausoleum,SMILXVBSS5ZQUYDASIYEMUTMPB54MKIN
Medaille,http://d-nb.info/gnd/4038206-0
Medaillen und Plaketten,KNFO55OFNNDFLGQOD2FEHLII4PSFKDUP
Medaillon,EU54762PBS7ZWNLRHCXBKR62ARKCLT4G
Medizin,
mehrbändiges Werk,http://ddb.vocnet.org/hierarchietyp/ht020
Meilensäule,7FCKWFI4I3U3MN5MHRGRKQJJTTCO3HHQ
Mensch (Grabausstattung / Sarg/Sarkophag),I5QCNTJEK5ASIDUCMUIJA2IMYWEZY5SF
Messer,http://d-nb.info/gnd/4169502-1
Messergriff,DT7UXOAQNTOIA5Y65JQ2Z5MLNHCC5B7L
Mietvertrag,http://d-nb.info/gnd/4039168-1
Mineralogie,
Miniatur,BE5WTVXC3QW3CQFYCGNT3I4V5EDOWFBB
Miniatur (Malerei),CYIU6UQFBI5XMMAJ2VJ3XVU7T4QXP22G
Miniaturbüste,L4WRRFYFFE7XGWFCUPK4YE272FAXFH5H
Mitteilung,P7WWFPQMLOHOJZWEA6LRJJOV5PQVVIVC
Modell,http://d-nb.info/gnd/4039798-1
Monatsschrift,Y3GET3GLLGQVOOB7WBV3X22I32NWCQNM
Monografie,https://d-nb.info/gnd/4454906-4
Monograph,http://ddb.vocnet.org/hierarchietyp/ht021
Mosaik,http://vocab.getty.edu/aat/300015342
Multireligiöser Raum,2FFDBNZ23YLRNOUJPVXV46OJS6FQXQJR
Multivolume work,http://ddb.vocnet.org/hierarchietyp/ht020
Museum,http://vocab.getty.edu/aat/300005768
Museumspostkarte,PFTG6BCHHRKIF2PRURI5M5LGRL2KGTZW
Musikaufführung,http://vocab.getty.edu/aat/300262956
Musikhandschrift,https://d-nb.info/gnd/4040847-4
Märchen,http://vocab.getty.edu/aat/300185684
Möbel,http://vocab.getty.edu/aat/300037680
Möbelbeschlag,SR6ADGNQUA5U2VGZ6DBPUIMD7PYUYOUE
Münze,http://d-nb.info/gnd/4040629-5
Münze (Fünf Mark),KFXE47ATDSQ2EOE7LHOQGXITJWWIXGFD
Nachlässe,PJFWRG64PNW2FXKCQGYPQY3YOC773GA7
Nachruf,http://d-nb.info/gnd/4128540-2
Nagelpflegemittelschachtel,UHO7X5BJPZ2F4B27CYTBMLJ6FN7BOVEA
Nationalpreis (Probeguss),ULOUQUWQM3IC2HRBWMUPHES4IOLGLRNB
Negativ,http://vocab.getty.edu/aat/300127173
Negativ (Fotografie),http://vocab.getty.edu/aat/300127173
Negativ s/w,http://d-nb.info/gnd/4347758-6
Netsuke,JSSSOYMJTL4B3FDESC3P2KBX3VYQTSFV
notated music,
Noten,http://ddb.vocnet.org/hierarchietyp/ht052
Noten (Musik),CZNQ2WJKGTUJD3G24YXLY5P3UZG4UGKS
Notenblatt,W73M7NI4O6KYTCT7JFOHTG7FAKG2YIDQ
Notenbuch,7P5JPNN7JMBZDX6CFZIDNU75CPFEFW36
Notenhandschrift,43GBVUVRA55NF4TJ3BDL7U6QYPP4WIMT
Notenheft,3KS67RO3KQGXGATPL4JCTMXXYECXCDYC
Notenmanuskript,S3CURRCMNVYTNHMXX76MH7WZGUKHSGD2
Notgeld,2XSY5MGWR6ATL4D3K7ZKPDGF4XGCYQLI
Notgeldschein,6NLNGU3CNIAXC7CDJ6IRKDSNU7FPZ6T3
Notiz,http://d-nb.info/gnd/4206777-7
Notizen,E66C5RZWUYLIJH4JXVGMDHX6CZASDJTD
Obelisk,http://vocab.getty.edu/aat/300007021
Objekt,http://vocab.getty.edu/aat/300047210
Oblatenbogen (2),QTVT2466HCGBA2O6UQ7VEBSWHXJCD3TM
Ofenplatte,http://d-nb.info/gnd/4172473-2
Online-Publikation,MBGCDYC5FOXBLZYG6XMABD73JJNLGTGD
Opernhaus,JOEVGDXK4QCR77DX2P2YKRKEQ5RVVMKX
"Optisches Gerät, Fotogerät*",http://vocab.getty.edu/aat/300024585http://vocab.getty.edu/aat/300022633
"Optisches Gerät, Fotogerät, Filmgerät*",M4GQPGSUYM5C3PQNIOICAR6OTY3AQEAB
Orangerie,P3FZJCSWRS4KBP7ZS5HI66LW4XYBHYT4
Orchestrion,http://d-nb.info/gnd/4172714-9
Orden,MVYMZWOJVMXYKBZAZ7BWPGGRBAFNSYU3
Orgel,YMBCC27JD6KGTOOV5FG6BWQGJQY2UEDO
Original,KPA5L5PVP3T3XYXMOQBXVWJGMK2Z3AII
Original Zeitschriftartikel,N4XPCNYDB7TUPCHJIODVH2JBYSZN5MJG
Palazzo,http://d-nb.info/gnd/4044394-2
Palazzo Vestibül,SL7XYU3H42UKNRNBYOUA3YO4H6CGWNXQ
Papierabzug,UTE2OVX6P4JBZFK7WOT4WHU67HWJATPL
Papierarbeit,T7S6BCAHEHTACRT7MW3LPRNQ3BI264LF
Papiergeld,QTS5W6GUCVTAR6FBMEU6GUMZRO7U4AQM
Papiertheaterbogen,KR3LEQIMBPHNXRWQJ46TER6BU7W343P3
Parteihaus,FMWECI77VCCTWF52WGEGIBNNNDF4KMQ3
Partitur,TYBIWRY3RJXLOQFROZX6U5WWECV7ZGRZ
Pentagondodekaeder,P77LJXCD6OMSK7UIPE3WGE6QAG2A2G7Z
Periodikum,OUSYX4KWUECSZBH6LY2RAG6V3MQGKIL3
Personenakten,AM7OA3LBYO6AK65IUGEIZ3B5E4CN4FS3
Personenmedaille,FNH5RHXKNZLVJTJQZFR63UMLS35NGRA6
Petschaft,EEP642Y54HTDEDEM6FIMD6676NU4RUCL
Pfeifenreiniger,ZLULSJRFIJS6US43DTFZTPBNZPS56AE7
Pferdegeschirr (Gerät),ZVW4GIJXYXPTC3JLW5EDNUNOLWUOC7S7
Philatelistischer Sonderdruck,5356T6KF7Z2YWP3OPUYJKTCTI5EGHZI7
Plakat,http://filmportal.vocnet.org/specificType/st00026
Plakate,NOGM2DU4HXPF5PATPQOQDK2BDH3BA3O2
Plakate und Flugblätter,B4P5UAN5DSGBNCEISYBG3XZQFIC2VSY5
Plakatentwurf,http://filmportal.vocnet.org/specificType/st00052
Plakette,http://d-nb.info/gnd/4174776-8
Plan,http://vocab.getty.edu/aat/300263886
Planfilm-Negativ,FOCCQCLH6CV6IO5NLZIRWHZTVWZXFGXU
Plastik,3UGG3ZJKFKY6JVQH4RP3443JNJKD2XSX
Plastik (Bildwerk),http://d-nb.info/gnd/4046277-8
Plastik/Skulptur,ISNK3FWVXAGT7KM4UOW4YWC2JHATQDJM
Plattenhülle,WEH5EZ2WMOAPS34KUPXPRFLVQ4RTZZYH
Pläne,7KAMJYDDZVEJ4WV5JDT52F7ZAJ6URI4L
Poesiealbum,7RTVJOGLDG777ESLVHHBAV35LI6RLCFZ
Politische Infopostkarte,WBMVOBSDG775V6MO5BJF5XURG32GUBY2
Polizeigebäude,SFCVRRYRQUKP45ULLBM2NE3JQ3M7Y5NV
Portal,http://vocab.getty.edu/aat/300076641
Portrait,http://d-nb.info/gnd/4006627-7
Porträt,http://d-nb.info/gnd/4006627-7
Porträtfoto,7QTVMEZ3XMXZN32AOQ4ZORNUW63SEYW7
Porträtfotografie,http://d-nb.info/gnd/4046840-9
Porträtpostkarte,V3MHDNGMSXXN2FEFIGCQH3GSN44AJLF6
Porträttasse,CSD4XVASBX5RBSB5EREVSOOZKSWFKPDD
Posititiv-Abzug,QZDNLL3P5DZMT336T4YJJVKSIR6OJBJW
Positiv,http://d-nb.info/gnd/4141215-1
Positiv-Abzug,NGAAJQYKME5PCZVFQQJAGUBHVLCYGTOO
Postkarte,http://d-nb.info/gnd/4046902-5
Postkarte (Aquarell Goethes 1828),LB6UGBJWWKDT7YCJR7NAP3WGWY2RHZ6P
Preis,QFXP7EQLNIJU7XLW3MDKOLF3GTER2LDQ
Print,IJPVW5FAO5DJAI65MBLV7ZCJWF6BS5Y4
Pritschenfuß,7UE62XPQRI6Z2UPMSYU2WY3KA7OHF26G
Probenfoto,244ZXOG7ARLMABAYCYVOXRHHNQUYH625
Profangrafik,4TKKT23H4N77H6RPNJKJ7NL37MK36QK6
Profangrafiken in Bildermappe,R5QT6WRRSEKJOMXJRRJL2Z3EB7CAKNN3
Programm,OVIQHOEJ66O2PMYPVNNQB2WCV7OAH44L
Programmheft,http://d-nb.info/gnd/4373950-7
Programmheft XI,BY2CJC42E55JNMFBTXJ2GKIOCNRIDX5O
Programmheft XII,PY4S4HRAFJSQKUJEVRHMBSQXV7LAW4GN
Programmheft XVII,FIB6WVDNCQIFAQEYB4YOMDV7E22RP5YS
Programmheft XXV Spielzeit 1997/98,BHFGPPYHSGQ4DFGFR2CASNAZIYW22YDN
Programmhefte,OZI4RSWLB4DEHZ5URAWZGYDBM5K7TFTK
Propagandaplakat,SZU4RZ3OBUKGD5L23QYUVKBWC5L2KNM2
Propagandaschrift,DDT6GU5AHYKWYOB4HH3GL734OAUVK4BT
Prosa,http://d-nb.info/gnd/4047497-5
Prosafragment,RXZGZ2GQ5ZEQF22YDMMUZOE56UZTZUWE
Protokoll,http://d-nb.info/gnd/4047552-9
Protokollbuch,QZDOM64N4V7IITEJ6X37O2RT6XZODMAO
Prägewerkzeug,ZAVPKRHD6JLCPMODYSAQNAK2GVUYX5QQ
"Publikation / Bibliothek / Plakate, Grafiken, Objekte",CUWL4INJCBVNM5MS4R56BBAR36THWIJ2
Punktierstich,AOQ7M56UWOXTTMNIKB5QJN6KWQYI4UQW
Putto,CJPIGYGUYKKTRY4LBFMUVRYRULXJNGMY
Quelle,http://d-nb.info/gnd/4135952-5
Quittung,http://d-nb.info/gnd/4144097-3
Radierung,http://d-nb.info/gnd/4048166-9
Randzeichnung,http://vocab.getty.edu/aat/300200658
Ratgeber,http://d-nb.info/gnd/4048476-2
Raumschmuck,JUFOA6ER72QU2LN64MNCFGY4OUE7TUJV
Rechnung,http://d-nb.info/gnd/4246502-3
rechter Fausthandschuh,7XXL5RSMJKW2Y7GW6YZLCOKXT6WOTJEZ
Rede,https://d-nb.info/gnd/4048882-2
Regierungsbau,S2I4PCKKUFAZC7RJNCI7ZYZCSQGG32OZ
Regierungsgebäude,http://vocab.getty.edu/aat/300008059
Reisebericht,http://d-nb.info/gnd/4076645-7
Reisebericht 1740,QPFCADJ5PSVNAN6LUIZ7INHRR5PCZJDX
Reisebericht 1750-1850,DT5WV4FR7FPJRYK3DPXRUQEKPZ7WIICM
Reisebericht 1777-1784,MQNIN35NAOBCBXZTTKVVGMI25XYT2EU3
Reisebericht 1786-1787,A32SSADQUDIYTYQ4CMXVDB4XUUXD45S2
Reisebericht 1786-1788,QCTF5RVVV7AFHQBPF7QHVSDTIIGAH7G4
Reisebericht 1788-1790,3OGUFQUVUAHJKT3TTAVSASWL577WUDTL
Reisebericht 1819,6HXHVAYWCLWYHLSBE7JJP4IFYOB6OYWW
Reisebericht 1830,KQOMYCXIC7S754QXAYRHMEB25OARVZFU
Reisebericht 1924,Z7RRG5J6LRY6AHWEVP45B4QVQIQXKTBK
Reisebericht 1987,QIHHE7UC6FUR2PIQ2JAVF7P2LXR4JN5V
Reiseführer,KOHKGVNGAW4DRYN63ZESFXNZMNSSGX54
Reisepass,http://vocab.getty.edu/aat/300027392
Relief,http://vocab.getty.edu/aat/300047230
Repro,RTIWJJR73OXZ2CJQKBZA3CZDIMMVIPEH
Reprofotografie,3LTFXDBB5V3PVFJPT5TN5CDJMNMCVNFS
Reprografie,Y74KVX7VD2NDUT42WEWEXZ54BRXZZBQT
Requisitionsschein,WUI6QN3WXTYWUUFCFJVSRSZBE4ZYXP2I
Research report,UKN5YV443YWRAEFSSPAREMXYP6WYOQGK
Review,KT7MSDUGHSGSPMWTMPE5NB2SYQPS7F53
Rezension,http://d-nb.info/gnd/4049712-4
Rezept,http://d-nb.info/gnd/4120926-6
Richtlinie,https://d-nb.info/gnd/4137814-3
Ring,ASJHBYJMY447IQYIG4QEQGUE77WL2LIX
Rollenabschrift,G462VHWPG5TMEGBXD5XT2XTYOABFWYQB
Rollenheft,K4EWG6L6F3KW4XDEXMAUOG2YNQ55AJ2E
Rollenporträt,Y5I7J3JRWJUN6ZMCISQV6BVF3DYL5AYT
Roman,https://d-nb.info/gnd/4050479-7
Romanhafte Biographien,XMLBG5AOULIFNKKNN5V2HWNFDUWYUVGD
Rosenkranz,MJTDF7YANALPCZTA4GQ22OWPW7F4YLJ5
Rundplastik (Skulptur),U62WYOM4WB6VT7ZPXYSIUIUBYKRZWLJK
"Rundplastik, männlich (Skulptur / Rundplastik)",NXRUQPKMO7CIGYQDJIWG57R7B3UR5ROO
Rundschild,http://d-nb.info/gnd/4245388-4
Rückseite,http://vocab.getty.edu/aat/300190692
Saalbau,C4VFYBYP5OONQ566ZEA2EEOHMUAMBKHK
Sachakte,https://d-nb.info/gnd/4466365-1
Sachbücher und Sachbilderbücher für Kinder und Jugendliche,R7GL4XK6FXTLQT6BMMAJBL6M4RUHO7TN
"Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Allgemeines, Nachschlagewerke",7P5B5R5WU7LHMOONO34CVNUHPDVMJXMB
"Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Kunst, Musik",5OKHBNZ2ECVIT55MACI5JIHHAUD7KIAQ
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Sonstiges,CKB4FNJRVAD4NPUYUYDPLLM4VLNN2OIZ
"Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt",OUEDHFBN3COHAKW46ZJLWCZBJLQL5ZCB
Sammelbilder,6A7JN2WHJDEWKFWBZAL2I3EHHSQCVPL7
Sammelordner,Y2K7HOYVRZRGXGJWHTEX3Q4JCCCFD7H4
Sammlung,MCPPJA2DBZWMXI3SL2YC6SC37EDDOQJR
Sarg/Sarkophag (Grabausstattung),HT3B4ETK6VLM2WDDYGMISAR23BJTE3RY
Satire,https://d-nb.info/gnd/4051752-4
Satirezeitschrift,U2WNBYG2TBDPOD5H7UFZYZBNF6HMENJP
Satirisches Flugblatt,OQOKN7QOPTRTACMCAJRRLD2BENQGSRXG
Schale <Gefäß>,http://d-nb.info/gnd/4121610-6
Schallplatte,AVTKN75244CXR7YGWDXCBUNR6HU47NMK
Scharnierfibel,U5ABMQDOMOD4FX2HQWJXRHZGFYKSEC4K
Schattenriss,http://vocab.getty.edu/aat/300015423
Schauspiel,
Schaustellerzettel,Q3DAPJ5D74L4RK54CISGOK6PK67GDQ6B
Schellackplatte,http://d-nb.info/gnd/4135113-7
