mediatype,sector,dc_type_de,dc_type_en,dnb_uri,rdf_type_w,rdf_type_e,rdf_type_m,rdf_type_i,source_vocab,notes
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Marginalie,,http://vocab.getty.edu/aat/300026102,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Maske,,http://vocab.getty.edu/aat/300138758,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Maske,,http://vocab.getty.edu/aat/300138758,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005,Mausoleum,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,,,mocho,Sector default — sparte005
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Medaillon,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003,Meilensäule,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte003
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005,Miniatur,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,,,mocho,Sector default — sparte005
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Miniatur (Malerei),,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Miniaturbüste,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Modell,,http://d-nb.info/gnd/4039798-1,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Monatsschrift,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Mosaik,,http://vocab.getty.edu/aat/300015342,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Multireligiöser Raum,,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Märchen,,http://vocab.getty.edu/aat/300185684,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Möbel,,http://vocab.getty.edu/aat/300037680,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Möbelbeschlag,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
