mediatype,sector,dc_type_de,dc_type_en,dnb_uri,rdf_type_w,rdf_type_e,rdf_type_m,rdf_type_i,source_vocab,notes
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Theaterstück,,http://d-nb.info/gnd/4304080-9,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Tisch,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002,Titelblatt,,https://d-nb.info/gnd/4185576-0,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Titelblatt,,https://d-nb.info/gnd/4185576-0,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005,Titelblatt,,https://d-nb.info/gnd/4185576-0,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,,,mocho,Sector default — sparte005
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Todesanzeige,,http://d-nb.info/gnd/4185595-4,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Tonband,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Traueranzeige,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Trauergedicht,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Tuschfederzeichnung,,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Tuschpinselzeichnung,,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Typoskript,,http://vocab.getty.edu/aat/300028577,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Türklinke,,http://vocab.getty.edu/aat/300077937,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Umschlag,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Unterhaltungsblatt,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Unterschrift,,http://vocab.getty.edu/aat/300189326,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Veranstaltungsprogramm,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Verfügung,,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003,Verwaltungsgebäude,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte003
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003,Vestibül,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte003
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Video,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005,Vogelschaubild,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,,,mocho,Sector default — sparte005
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Volkslied,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Vollmacht,,http://d-nb.info/gnd/4063907-1,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Vorderhaus,,,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
